ProbeID	1 Avg_ctrl	1 Avg_treat	1 FoldChange	1 Rank_modT	1 Rank_WAD	1 RP_origPvalue	1 RP_correctedPvalue	1 Rank_RP	1 DEG	Homolog_GID
POPTR_0010s13170.3	279.3728728	1759.935825	6.299594542	1	3	0	0	24	DEG	AT1G25375.1
POPTR_0003s18070.1	24.40444139	60.73326259	2.488615151	454	371	4.00E-04	0.022761905	111	DEG	AT5G57970.1
POPTR_0006s23020.1	73.0158934	149.6762696	2.049913555	47	299	0.0014	0.043454545	271	DEG	AT3G53540.1
POPTR_0010s09790.1	37.0539236	207.1331951	5.590047556	207	22	0	0	25	DEG	AT4G14910.1
POPTR_0007s09320.1	33.75278756	67.31263496	1.994283727	608	548	0.0017	0.046434286	307	DEG	AT4G35790.2
POPTR_0014s00630.1	24.46208221	10.60346425	-2.306989644	87	1170	8.00E-04	0.038626263	238	DEG	AT3G14470.1
POPTR_0014s06440.1	159.3272456	393.7803485	2.471519212	35	94	4.00E-04	0.022494118	108	DEG	AT2G45350.1
POPTR_0013s00710.1	343.2467847	804.1090213	2.342655655	2913	18	3.00E-04	0.020485714	94	DEG	AT4G25810.1
POPTR_0003s12370.1	426.5909505	926.0900444	2.17090879	123	79	9.00E-04	0.035262295	205	DEG	AT1G12770.1
POPTR_0004s04520.1	58.64390411	177.9036999	3.033626471	1020	82	1.00E-04	0.011658537	54	DEG	AT1G28250.1
POPTR_0006s02320.1	96.54635401	190.0372764	1.968352698	3464	139	0.0012	0.039833333	254	DEG	AT1G22400.1
POPTR_0003s04970.1	25.74192666	10.8714662	-2.367843139	95	1012	6.00E-04	0.033741176	190	DEG	AT3G16200.1
POPTR_0010s08670.2	17.08886785	66.97684849	3.919326258	129	190	0	0	31	DEG	AT3G23090.1
POPTR_0006s28180.1	14.11136518	30.67417513	2.173721305	1301	930	0.0011	0.037557143	226	DEG	AT5G25050.1
POPTR_0005s07270.1	75.29149327	16.79693458	-4.482454397	646	101	0	0	34	DEG	AT3G62450.1
POPTR_0012s09230.1	120.4732309	10.84810039	-11.10546792	96	26	0	0	35	DEG	AT2G31880.1
POPTR_0010s12430.2	40.47816049	13.41173996	-3.018114027	270	500	2.00E-04	0.0239	121	DEG	---
POPTR_0001s28930.1	123.3684018	54.19143267	-2.276529623	144	263	8.00E-04	0.037861386	230	DEG	AT2G30170.1
POPTR_0006s03890.1	5.113068959	11.40272796	2.230114253	79	3031	8.00E-04	0.03445045	196	DEG	AT2G41140.1
POPTR_0007s04490.1	47.34750824	23.18358829	-2.042285588	902	646	0.0016	0.049341935	332	DEG	AT5G63940.1
POPTR_0018s03710.1	50.87560241	11.1872208	-4.547653373	3290	406	4.00E-04	0.028969697	155	DEG	AT5G10710.2
POPTR_0009s15150.2	77.29346165	33.97030926	-2.27532405	2265	249	7.00E-04	0.036369565	213	DEG	AT3G52730.1
POPTR_0012s10420.2	25.15313618	62.47541167	2.483802069	1068	316	3.00E-04	0.019643836	89	DEG	AT3G48710.1
POPTR_0013s15530.1	77.27118332	26.60975256	-2.903867037	2498	353	0.0012	0.044123077	278	DEG	AT1G14320.1
POPTR_0015s10570.1	79.62104921	199.321378	2.503375427	146	152	4.00E-04	0.021977011	103	DEG	AT5G63420.1
POPTR_0004s16350.1	16.79300718	6.500516925	-2.583334121	940	1918	8.00E-04	0.036769231	218	DEG	AT2G21620.1
POPTR_0018s03460.1	12.82566223	27.86029492	2.172230519	121	1063	9.00E-04	0.034693548	199	DEG	AT4G31540.1
POPTR_0004s02750.1	15.70663955	7.235078472	-2.170901063	214	2128	0.0013	0.044705036	286	DEG	AT1G11340.1
POPTR_0002s09400.2	17.17043477	6.228367861	-2.756811278	1385	1887	7.00E-04	0.035978495	211	DEG	AT4G08690.1
POPTR_0010s05000.1	28.68937245	9.094735333	-3.154503281	2320	899	6.00E-04	0.033348837	187	DEG	AT1G70370.2
POPTR_0005s10430.2	2747.33813	7656.52807	2.786889603	97	9	2.00E-04	0.01620339	71	DEG	AT4G16444.1
POPTR_0001s38370.1	14.82408587	49.88570115	3.365178912	27	294	0	0	41	DEG	AT2G29120.1
POPTR_0002s09600.1	1798.37143	3984.090371	2.215387936	90	27	8.00E-04	0.033252174	186	DEG	AT1G78160.1
POPTR_0019s01600.1	9.409965826	22.05910942	2.344228431	178	1304	7.00E-04	0.031566038	174	DEG	AT2G03200.1
POPTR_0001s06240.5	353.7876551	28.96184421	-12.21564665	232	8	0	0	44	DEG	AT3G54500.1
POPTR_0008s04100.1	132.1526074	42.42123888	-3.115246297	802	135	3.00E-04	0.024305085	124	DEG	AT1G61560.1
POPTR_0002s20210.1	19.35970301	187.2495891	9.672131283	136	20	0	0	45	DEG	AT2G47500.1
POPTR_0010s05900.1	75.99243476	25.60095226	-2.968344068	22	238	2.00E-04	0.021244444	98	DEG	AT4G24740.1
POPTR_0086s00210.1	89.34080231	36.79014113	-2.428389769	23	292	5.00E-04	0.030253165	164	DEG	---
POPTR_0007s05410.2	128.8896746	302.6069563	2.34779828	349	125	8.00E-04	0.032683761	180	DEG	AT2G22300.1
POPTR_0011s04950.1	30.83807563	8.952399854	-3.444671388	1364	765	3.00E-04	0.031173913	170	DEG	AT2G47960.1
POPTR_0010s07850.1	134.9968756	54.93334126	-2.457467042	423	183	5.00E-04	0.035147059	204	DEG	AT3G23510.1
POPTR_0014s15570.2	38.2071959	17.25654809	-2.214069447	2093	686	0.0013	0.047435115	316	DEG	AT5G55140.1
POPTR_0006s06150.1	137.6641087	52.6163352	-2.61637585	2413	89	1.00E-04	0.0239	119	DEG	AT3G18670.1
POPTR_0011s14830.1	97.83080685	46.12545699	-2.120972088	567	352	0.0012	0.04552381	296	DEG	---
POPTR_0016s08960.1	136.3372585	270.1126258	1.981209163	3513	130	0.0014	0.044317881	281	DEG	AT3G09740.1
POPTR_0008s09440.1	61.01956422	23.94512433	-2.548308515	522	356	4.00E-04	0.031344262	172	DEG	AT2G03480.1
POPTR_0002s21740.1	29.06573136	74.82375746	2.574294675	13	305	3.00E-04	0.023129032	114	DEG	AT4G03965.1
POPTR_0001s30810.1	22.79848828	58.64022633	2.572110291	52	397	3.00E-04	0.022761905	109	DEG	AT4G34215.1
POPTR_0010s13350.1	10.13280302	67.89484927	6.700500263	6	102	0	0	5	DEG	AT1G68440.1
POPTR_0001s04470.1	543.0841599	454.7602236	-1.194220892	8219	14	7.00E-04	0.037595506	227	DEG	AT2G20142.1
POPTR_0004s18160.1	7.905218982	17.56287842	2.221681456	467	1893	0.0012	0.040111888	255	DEG	AT1G68000.1
POPTR_1677s00200.1	159.6703519	44.53749771	-3.585076848	40	88	1.00E-04	0.021727273	100	DEG	AT5G40990.1
POPTR_0479s00200.1	80.52177709	27.30265585	-2.949228732	93	221	2.00E-04	0.027314286	148	DEG	AT5G40470.1
POPTR_0014s11890.1	19.53221823	7.215580228	-2.706950461	261	1242	3.00E-04	0.029265306	157	DEG	AT5G47900.1
POPTR_0013s14370.1	135.8236209	267.1854332	1.96714998	946	198	0.0017	0.048369048	325	DEG	AT1G12470.1
POPTR_0001s15900.1	23.95436949	57.23467728	2.389320968	39	456	5.00E-04	0.026853933	145	DEG	AT5G44790.1
POPTR_0006s02370.1	142.7571875	53.69476566	-2.658679775	156	164	3.00E-04	0.028117647	150	DEG	AT1G22400.1
POPTR_0019s09090.1	16.06209185	46.17534777	2.874802872	2188	596	8.00E-04	0.035082569	203	DEG	AT3G10850.1
POPTR_0001s33220.1	11.09689427	22.23882508	2.00405848	620	1474	0.0015	0.04566879	297	DEG	AT3G26890.5
POPTR_0009s13280.2	33.2378591	135.9961693	4.091604362	439	91	0	0	10	DEG	---
POPTR_0002s11100.1	272.2624394	131.3096483	-2.073438189	216	189	0.0015	0.048445946	326	DEG	AT4G24430.1
POPTR_0016s14250.1	237.5713304	573.2295725	2.412873521	180	85	5.00E-04	0.026555556	142	DEG	AT1G29690.1
POPTR_0007s07860.1	42.08448617	89.77591853	2.133230715	177	415	0.0013	0.041986486	265	DEG	AT3G18620.1
POPTR_0001s20880.1	221.2861925	545.4493187	2.464904441	2046	43	4.00E-04	0.0239	120	DEG	AT1G52520.1
POPTR_0006s09730.2	74.587722	214.0384358	2.869620228	1005	119	4.00E-04	0.023604938	118	DEG	AT3G09090.1
POPTR_0015s09620.1	147.8651778	300.3106636	2.030976245	149	187	0.0015	0.04509434	291	DEG	AT5G56670.1
POPTR_0010s12180.1	72.06900925	25.41809311	-2.835342878	34	260	2.00E-04	0.026555556	143	DEG	AT1G23100.1
POPTR_0010s10980.1	118.5061076	49.65985082	-2.386356497	3366	97	3.00E-04	0.027576923	149	DEG	AT1G09290.1
POPTR_0014s09690.1	6.374079156	15.06333414	2.363217302	201	2087	6.00E-04	0.02956701	160	DEG	AT1G01220.1
POPTR_0007s13810.1	117.5395668	237.8742805	2.023780477	642	231	0.0017	0.047244186	315	DEG	AT4G36195.3
POPTR_0002s08140.1	307.203861	135.5848843	-2.265767771	577	131	0.0011	0.044184874	279	DEG	AT3G19910.1
POPTR_0009s06820.1	35.29292524	15.99238747	-2.206857814	1219	709	0.001	0.041565217	262	DEG	AT3G12650.1
POPTR_0014s13950.1	89.34450569	194.1875782	2.173469725	105	218	0.001	0.03734375	224	DEG	AT2G30990.2
POPTR_0009s03660.1	45.04548054	118.0962027	2.621710353	81	195	3.00E-04	0.021402985	99	DEG	AT1G07570.1
POPTR_0003s19020.1	6.339701737	16.1345793	2.545006054	389	1867	5.00E-04	0.025698925	136	DEG	AT3G12400.1
POPTR_0004s01310.1	43.79837464	180.3970147	4.118806148	170	69	0	0	16	DEG	AT5G07900.1
POPTR_0818s00200.1	412.734957	1025.205597	2.483932072	395	35	3.00E-04	0.021088235	97	DEG	---
POPTR_0001s28620.1	8.006919521	15.97922539	1.995677033	82	2209	0.0017	0.046971098	312	DEG	AT2G30080.1
POPTR_0013s12760.1	127.2654981	257.7868134	2.025582874	50	224	0.0015	0.04398773	276	DEG	AT4G35020.1
POPTR_0016s03110.1	32.01790989	10.96051289	-2.92120544	2403	661	5.00E-04	0.032297297	178	DEG	AT5G65600.1
POPTR_0014s06330.1	44.71867159	8.293868838	-5.391774631	17	220	0	0	21	DEG	AT2G45270.1
POPTR_0008s03290.1	32.93699114	69.11665122	2.098450673	1139	463	0.0011	0.037827338	229	DEG	AT5G04280.1
POPTR_0003s18670.1	516.2780632	211.5759706	-2.440154531	1627	90	0.0011	0.043098361	268	DEG	AT5G23570.1
POPTR_0001s12600.1	5.372902647	25.97676893	4.834773797	5181	1623	0.0018	0.048610169	327	DEG	AT2G19640.2
POPTR_0008s06700.1	19.08563084	41.98195787	2.199663099	84	696	9.00E-04	0.035553719	208	DEG	AT2G40110.1
POPTR_0008s06850.1	49.85305946	13.06304726	-3.816342271	175	279	0	0	27	DEG	AT5G05660.1
POPTR_0001s47400.1	159.2344479	55.4119436	-2.873648488	241	110	2.00E-04	0.025157895	131	DEG	AT1G30700.1
POPTR_0080s00230.1	998.4522641	4086.683639	4.09301855	173	5	0	0	28	DEG	AT1G11300.1
POPTR_0004s17110.1	191.300714	515.9902417	2.697272953	205	52	2.00E-04	0.017703704	79	DEG	---
POPTR_0003s13020.1	6.392870096	39.63889745	6.200485362	148	300	0	0	32	DEG	AT1G75060.1
POPTR_0007s10280.4	4.274340079	10.96338551	2.564930565	1376	3644	9.00E-04	0.03497561	202	DEG	AT2G23140.1
POPTR_0003s07490.1	63.20843684	19.71014194	-3.20689912	101	264	1.00E-04	0.015419355	68	DEG	AT3G60580.1
POPTR_0191s00230.1	220.5740241	434.3774583	1.969304681	362	163	0.0018	0.048337079	324	DEG	AT1G27410.1
POPTR_0016s14350.1	8.82561947	21.60513952	2.448002612	125	1272	5.00E-04	0.025425532	134	DEG	AT4G32010.1
POPTR_0015s07570.1	249.9979534	97.03160713	-2.576458958	2101	80	4.00E-04	0.029415385	159	DEG	AT1G74700.1
POPTR_0009s01050.1	26.57236377	66.40397927	2.498986535	1441	331	4.00E-04	0.022232558	105	DEG	AT2G28190.1
POPTR_0001s05110.1	7.500301543	22.08435366	2.944462104	86	1025	1.00E-04	0.011380952	53	DEG	AT2G44430.1
POPTR_0016s09080.1	1179.236163	5.387360435	-218.8894129	4882	17	2.00E-04	0.024512821	126	DEG	---
POPTR_0004s00930.1	1614.646551	422.8656265	-3.818344292	69	10	0	0	36	DEG	AT5G42570.1
POPTR_0015s00980.1	12.81365493	5.187389372	-2.470154834	491	2671	8.00E-04	0.037490196	225	DEG	AT3G49350.1
POPTR_0008s16080.1	305.1905533	693.1138798	2.271085629	3295	23	2.00E-04	0.01677193	74	DEG	AT5G43710.1
POPTR_0004s05490.1	89.57403335	41.45716748	-2.160640458	326	365	0.0011	0.042747967	267	DEG	AT3G56770.1
POPTR_0001s34890.1	74.38473858	26.10879154	-2.849030314	187	275	3.00E-04	0.025157895	132	DEG	AT5G14710.1
POPTR_0012s13380.1	21.42122961	56.47649262	2.63647296	128	372	2.00E-04	0.016482759	73	DEG	AT2G36620.1
POPTR_0003s01810.1	64.75871636	29.96089185	-2.161441545	257	532	0.0014	0.046797203	311	DEG	AT5G64200.2
POPTR_0007s01670.1	674.4195498	1445.566811	2.143423647	238	71	0.0013	0.041426667	261	DEG	AT3G20320.1
POPTR_0005s03220.1	5.098217361	16.67023444	3.269816342	60	1477	1.00E-04	0.010863636	51	DEG	AT1G55000.1
POPTR_0004s19840.1	25.02382157	8.87651199	-2.819105252	73	883	2.00E-04	0.022232558	106	DEG	AT2G29500.1
POPTR_0006s27100.1	83.42885963	25.22766456	-3.307038565	135	175	1.00E-04	0.0149375	66	DEG	AT3G19720.1
POPTR_0003s15230.1	25.54912355	55.80091737	2.184063859	301	533	8.00E-04	0.034142857	194	DEG	---
POPTR_0009s13700.2	171.4563522	360.2994247	2.101406102	405	173	0.0016	0.045796407	299	DEG	AT4G35020.1
POPTR_0009s05830.3	33.49100346	159.8822821	4.773887481	2	47	0	0	38	DEG	AT1G51340.2
POPTR_0001s37670.4	702.0473422	338.0405323	-2.076814095	256	104	0.0014	0.046472222	308	DEG	AT5G47650.1
POPTR_0019s08120.1	132.4274221	332.1863966	2.508441163	3725	15	1.00E-04	0.010622222	50	DEG	AT3G47390.2
POPTR_0005s18480.1	9.828714072	22.75542345	2.315198437	312	1229	6.00E-04	0.028969697	156	DEG	AT5G67210.1
POPTR_0015s06910.1	64	14.99137783	-4.269120607	134	150	0	0	39	DEG	AT5G61010.2
POPTR_0004s02530.1	55.44437622	119.8493254	2.161613738	226	290	9.00E-04	0.034416	195	DEG	AT4G23180.1
POPTR_0018s13080.1	150.819049	36.26254939	-4.159085655	255	84	0	0	40	DEG	AT5G25360.1
POPTR_0010s00800.1	106.5998117	13.78836211	-7.731143905	355	42	0	0	42	DEG	AT4G16070.1
POPTR_0001s11740.1	10.4613888	24.41195624	2.333529201	274	1124	6.00E-04	0.02839604	151	DEG	AT5G51230.1
POPTR_0014s04030.1	74.75973155	33.66810137	-2.22049146	92	421	9.00E-04	0.038756757	240	DEG	AT5G42620.2
POPTR_0016s00730.1	13.50061015	6.388266553	-2.113344838	334	2649	0.0016	0.049025641	331	DEG	AT5G47680.1
POPTR_0016s14880.1	40.15261948	16.47577558	-2.437070066	1321	754	0.0014	0.045835616	300	DEG	AT2G28330.1
POPTR_0015s06530.1	20.01906435	44.01733818	2.198771002	169	644	8.00E-04	0.032965517	183	DEG	AT1G13580.3
POPTR_0018s03680.1	26.52932391	11.76825996	-2.254311513	196	1094	9.00E-04	0.038070796	233	DEG	AT4G31430.2
POPTR_0011s02470.2	11.3596713	30.45944195	2.68136649	33	712	2.00E-04	0.015933333	70	DEG	AT4G26750.1
POPTR_0004s09210.1	682.6417851	279.7092	-2.440541051	54	66	6.00E-04	0.032965517	184	DEG	AT1G71090.1
POPTR_0018s04570.1	109.7672252	35.8479513	-3.062022269	424	179	3.00E-04	0.0239	122	DEG	AT1G72770.3
POPTR_0001s29530.1	180.1922903	39.75748402	-4.532286053	436	56	0	0	47	DEG	AT2G14580.1
POPTR_0019s12660.1	67.88179007	30.71691479	-2.209915629	430	479	0.0012	0.045888	301	DEG	AT2G43780.2
POPTR_0012s11670.1	93.58744905	243.5785292	2.602683711	510	113	4.00E-04	0.024512821	125	DEG	AT5G45160.1
POPTR_0007s13120.1	11.11994678	28.85924023	2.595267838	56	817	3.00E-04	0.023508197	117	DEG	AT4G36520.1
POPTR_0337s00240.1	28.26532566	12.34368886	-2.289860508	109	1004	9.00E-04	0.040971429	260	DEG	AT3G26750.1
POPTR_0009s02180.1	1103.209676	2196.890588	1.99136269	726	60	0.0016	0.046072289	304	DEG	AT5G22080.1
POPTR_0014s10420.1	29.36545591	63.97853287	2.17870048	126	518	0.0011	0.039833333	251	DEG	AT4G01575.1
POPTR_0013s01770.1	499.1617898	2606.934335	5.222623984	1920	2	0	0	4	DEG	AT3G05520.2
POPTR_0005s21980.1	142.0651077	322.9578094	2.273308447	340	137	8.00E-04	0.035407407	206	DEG	AT1G71720.1
POPTR_0019s07800.1	15.98052787	7.298007061	-2.189711209	479	2126	0.0015	0.04877551	329	DEG	AT3G59390.1
POPTR_0003s14610.1	1687.049377	612.841646	-2.75283083	2358	21	7.00E-04	0.037177778	222	DEG	AT5G41960.1
POPTR_0001s43200.1	33.80588448	12.13582239	-2.785627821	115	620	3.00E-04	0.030510638	166	DEG	AT4G21390.1
POPTR_0018s00730.2	92.94185946	40.7432067	-2.281162112	935	291	9.00E-04	0.040584906	258	DEG	AT5G11500.1
POPTR_0004s05110.1	67.93335173	16.92463049	-4.013875031	20	161	0	0	6	DEG	AT4G18450.1
POPTR_0017s11340.1	218.4715095	99.46024855	-2.196571119	367	209	0.0014	0.047460993	317	DEG	AT3G28700.1
POPTR_0016s01680.1	35.09862934	9.428331495	-3.722676633	4317	912	0.0014	0.047126761	314	DEG	AT4G12610.2
POPTR_0011s16080.1	520.5373513	1234.064845	2.370751766	1653	30	5.00E-04	0.027159091	147	DEG	AT5G44450.1
POPTR_0003s06970.1	6.80438031	17.75051154	2.608688923	918	1779	6.00E-04	0.029875	161	DEG	AT1G53880.1
POPTR_0011s10670.1	13.94381379	37.68926008	2.702937708	507	609	3.00E-04	0.022061538	104	DEG	AT1G78600.1
POPTR_0004s17160.2	78.65243761	36.44130064	-2.158332338	233	447	0.0013	0.047075758	313	DEG	AT5G45600.2
POPTR_0014s12580.1	163.0555447	61.28498996	-2.660611428	1819	136	7.00E-04	0.036769231	216	DEG	AT4G02485.1
POPTR_0002s20160.1	207.2430381	42.90959978	-4.829759287	3586	81	3.00E-04	0.02868	153	DEG	AT3G05700.1
POPTR_0005s18390.2	233.8725273	638.3153665	2.729330263	24	46	2.00E-04	0.019510204	88	DEG	AT5G67170.1
POPTR_0004s06500.1	213.259142	464.6083389	2.178609247	189	115	0.0011	0.039238806	245	DEG	AT4G31250.1
POPTR_0006s09730.3	617.2445779	1336.658279	2.165524537	441	62	0.001	0.037637795	228	DEG	AT3G09090.1
POPTR_0017s03980.1	73.0158934	29.21043138	-2.499651321	267	309	4.00E-04	0.030349206	165	DEG	AT2G43940.1
POPTR_0009s07250.1	667.888269	1430.41389	2.141696382	61	68	0.0011	0.038948148	241	DEG	AT2G26840.2
POPTR_0012s02200.1	71.2689565	176.9873633	2.483372452	181	147	4.00E-04	0.023317073	115	DEG	AT5G24260.1
POPTR_0009s03670.1	67.79244214	20.90196835	-3.243352062	2132	120	1.00E-04	0.018384615	81	DEG	---
POPTR_0004s17960.1	19.50030131	41.49843185	2.128091827	63	760	0.0011	0.038661765	239	DEG	AT4G34980.1
POPTR_0001s41300.3	124.881414	55.88599821	-2.234574276	130	272	0.001	0.041929825	264	DEG	AT1G07750.1
POPTR_0001s41040.1	25.30423769	56.29877611	2.224875407	1246	624	0.0017	0.0478	320	DEG	AT1G53050.1
POPTR_0015s14540.1	19.5869715	43.11251012	2.201080964	653	616	7.00E-04	0.032485437	179	DEG	AT5G51545.1
POPTR_0016s08190.1	685.2128755	1613.063916	2.354106254	91	39	5.00E-04	0.025978261	138	DEG	AT3G09560.3
POPTR_0001s28440.1	8.973705582	19.57737472	2.181637735	885	1724	0.0015	0.0448125	288	DEG	AT1G07170.2
POPTR_0014s17940.1	12.77653311	45.7412698	3.580100284	4	312	0	0	13	DEG	AT5G42960.1
POPTR_0001s14410.2	56.54419861	198.873033	3.517125327	37	72	0	0	14	DEG	AT3G24190.1
POPTR_0011s10520.1	3371.957248	1810.663595	-1.862277045	5898	1	1.00E-04	0.017071429	75	DEG	AT3G26922.1
POPTR_0010s23080.1	127.2216129	289.7007154	2.277134434	998	171	0.0014	0.044026316	277	DEG	AT5G04220.2
POPTR_1924s00200.1	937.9080244	3675.90353	3.919258002	141	6	0	0	15	DEG	AT4G35780.1
POPTR_0014s17210.1	13.46242368	30.02841879	2.230535861	145	990	9.00E-04	0.036151261	212	DEG	AT3G07565.4
POPTR_0005s01240.1	352.0205897	164.9163457	-2.134540323	859	126	0.0013	0.045691176	298	DEG	AT1G58190.1
POPTR_0006s13870.1	35.36903537	15.46536942	-2.286982898	281	756	8.00E-04	0.03942268	247	DEG	---
POPTR_0014s01590.1	58.43729952	126.5271029	2.165177103	252	310	0.0011	0.038379562	236	DEG	AT1G10200.1
POPTR_0006s04510.1	21.98208921	44.79347222	2.037725886	202	746	0.0015	0.044534161	284	DEG	AT3G57330.1
POPTR_0001s47510.2	35.92166229	17.85587086	-2.01175639	1174	871	0.0016	0.049986928	335	DEG	AT4G26470.1
POPTR_0009s14370.1	14.27203439	28.74455114	2.014047216	283	1160	0.0015	0.044259259	280	DEG	AT2G17040.1
POPTR_0019s12150.1	445.4755647	1258.028246	2.824011787	65	24	1.00E-04	0.01225641	56	DEG	AT3G58110.1
POPTR_0018s12820.1	13.13721799	37.13246804	2.826509241	3384	884	0.0017	0.046701149	309	DEG	AT2G42160.1
